poly_id,mean_Px,std_Px,zscore_sample_x0
P01,-65.982688,251.858738,0.277865
P02,5.000000,0.000000,0.000000
P04,6.877680,3.874860,0.031568
P05,14.699707,46061.276862,-0.000102
P06,507.396898,996.354519,-0.509253
P07,-9.000000,0.000000,0.000000
P09,-0.171740,424.936752,0.000404
P10,0.743117,2.421788,-0.031568
P11,-4.603099,32646.726356,-0.000012
P12,0.000000,0.000000,0.000000
P13,76.062407,116.681747,-0.609028
P15,25.572742,453.645558,-0.054167
P16,-1.070300,33.905029,0.031568
P17,14.229001,23.176424,-0.605313
P18,100.000000,0.000000,0.000000
P20,12268.320067,24173.429672,-0.507430

poly_a,poly_b,comparison
P01,P02,P01 < P02
P01,P04,P01 < P04
P01,P05,P01 < P05
P01,P06,P01 < P06
P01,P07,P01 < P07
P01,P09,P01 < P09
P01,P10,P01 < P10
P01,P11,P01 < P11
P01,P12,P01 < P12
P01,P13,P01 < P13
P01,P15,P01 < P15
P01,P16,P01 < P16
P01,P17,P01 < P17
P01,P18,P01 < P18
P01,P20,P01 < P20
P02,P04,P02 < P04
P02,P05,P02 < P05
P02,P06,P02 < P06
P02,P07,P02 > P07
P02,P09,P02 > P09
P02,P10,P02 > P10
P02,P11,P02 > P11
P02,P12,P02 > P12
P02,P13,P02 < P13
P02,P15,P02 < P15
P02,P16,P02 > P16
P02,P17,P02 < P17
P02,P18,P02 < P18
P02,P20,P02 < P20
P04,P05,P04 < P05
P04,P06,P04 < P06
P04,P07,P04 > P07
P04,P09,P04 > P09
P04,P10,P04 > P10
P04,P11,P04 > P11
P04,P12,P04 > P12
P04,P13,P04 < P13
P04,P15,P04 < P15
P04,P16,P04 > P16
P04,P17,P04 < P17
P04,P18,P04 < P18
P04,P20,P04 < P20
P05,P06,P05 < P06
P05,P07,P05 > P07
P05,P09,P05 > P09
P05,P10,P05 > P10
P05,P11,P05 > P11
P05,P12,P05 > P12
P05,P13,P05 < P13
P05,P15,P05 < P15
P05,P16,P05 > P16
P05,P17,P05 > P17
P05,P18,P05 < P18
P05,P20,P05 < P20
P06,P07,P06 > P07
P06,P09,P06 > P09
P06,P10,P06 > P10
P06,P11,P06 > P11
P06,P12,P06 > P12
P06,P13,P06 > P13
P06,P15,P06 > P15
P06,P16,P06 > P16
P06,P17,P06 > P17
P06,P18,P06 > P18
P06,P20,P06 < P20
P07,P09,P07 < P09
P07,P10,P07 < P10
P07,P11,P07 < P11
P07,P12,P07 < P12
P07,P13,P07 < P13
P07,P15,P07 < P15
P07,P16,P07 < P16
P07,P17,P07 < P17
P07,P18,P07 < P18
P07,P20,P07 < P20
P09,P10,P09 < P10
P09,P11,P09 > P11
P09,P12,P09 < P12
P09,P13,P09 < P13
P09,P15,P09 < P15
P09,P16,P09 > P16
P09,P17,P09 < P17
P09,P18,P09 < P18
P09,P20,P09 < P20
P10,P11,P10 > P11
P10,P12,P10 > P12
P10,P13,P10 < P13
P10,P15,P10 < P15
P10,P16,P10 > P16
P10,P17,P10 < P17
P10,P18,P10 < P18
P10,P20,P10 < P20
P11,P12,P11 < P12
P11,P13,P11 < P13
P11,P15,P11 < P15
P11,P16,P11 < P16
P11,P17,P11 < P17
P11,P18,P11 < P18
P11,P20,P11 < P20
P12,P13,P12 < P13
P12,P15,P12 < P15
P12,P16,P12 > P16
P12,P17,P12 < P17
P12,P18,P12 < P18
P12,P20,P12 < P20
P13,P15,P13 > P15
P13,P16,P13 > P16
P13,P17,P13 > P17
P13,P18,P13 < P18
P13,P20,P13 < P20
P15,P16,P15 > P16
P15,P17,P15 > P17
P15,P18,P15 < P18
P15,P20,P15 < P20
P16,P17,P16 < P17
P16,P18,P16 < P18
P16,P20,P16 < P20
P17,P18,P17 < P18
P17,P20,P17 < P20
P18,P20,P18 < P20
