poly_id,x_val,P(x),P_prime(x)
P01,0.000000,4.000000,0.000000
P01,1.500000,-1.062500,-5.625000
P01,-2.000000,-12.000000,18.000000
P01,3.140000,-10.099228,-4.050600
P01,-0.500000,3.187500,3.375000
P01,10.000000,204.000000,90.000000
P01,-10.000000,-796.000000,210.000000
P01,0.001000,3.999997,-0.005999
P01,2.718000,-8.122927,-5.226714
P01,-3.330000,-47.729718,36.613350
P02,0.000000,5.000000,0.000000
P02,1.500000,5.000000,0.000000
P02,-2.000000,5.000000,0.000000
P02,3.140000,5.000000,0.000000
P02,-0.500000,5.000000,0.000000
P02,10.000000,5.000000,0.000000
P02,-10.000000,5.000000,0.000000
P02,0.001000,5.000000,0.000000
P02,2.718000,5.000000,0.000000
P02,-3.330000,5.000000,0.000000
P04,0.000000,7.000000,-0.800000
P04,1.500000,5.800000,-0.800000
P04,-2.000000,8.600000,-0.800000
P04,3.140000,4.488000,-0.800000
P04,-0.500000,7.400000,-0.800000
P04,10.000000,-1.000000,-0.800000
P04,-10.000000,15.000000,-0.800000
P04,0.001000,6.999200,-0.800000
P04,2.718000,4.825600,-0.800000
P04,-3.330000,9.664000,-0.800000
P05,0.000000,10.000000,-0.500000
P05,1.500000,26.968750,45.062500
P05,-2.000000,-45.000000,115.500000
P05,3.140000,406.552208,574.294961
P05,-0.500000,9.843750,2.062500
P05,10.000000,103005.000000,50899.500000
P05,-10.000000,-102985.000000,50899.500000
P05,0.001000,9.999500,-0.499991
P05,2.718000,217.215109,338.865270
P05,-3.330000,-508.582243,714.118616
P06,0.000000,0.000000,0.000000
P06,1.500000,1.265625,3.375000
P06,-2.000000,4.000000,-8.000000
P06,3.140000,24.302928,30.959144
P06,-0.500000,0.015625,-0.125000
P06,10.000000,2500.000000,1000.000000
P06,-10.000000,2500.000000,-1000.000000
P06,0.001000,0.000000,0.000000
P06,2.718000,13.643878,20.079290
P06,-3.330000,30.740926,-36.926037
P07,0.000000,-9.000000,0.000000
P07,1.500000,-9.000000,0.000000
P07,-2.000000,-9.000000,0.000000
P07,3.140000,-9.000000,0.000000
P07,-0.500000,-9.000000,0.000000
P07,10.000000,-9.000000,0.000000
P07,-10.000000,-9.000000,0.000000
P07,0.001000,-9.000000,0.000000
P07,2.718000,-9.000000,0.000000
P07,-3.330000,-9.000000,0.000000
P09,0.000000,0.000000,5.000000
P09,1.500000,4.125000,-1.750000
P09,-2.000000,-2.000000,-7.000000
P09,3.140000,-15.259144,-24.578800
P09,-0.500000,-2.375000,4.250000
P09,10.000000,-950.000000,-295.000000
P09,-10.000000,950.000000,-295.000000
P09,0.001000,0.005000,4.999997
P09,2.718000,-6.489290,-17.162572
P09,-3.330000,20.276037,-28.266700
P10,0.000000,0.666667,0.500000
P10,1.500000,1.416667,0.500000
P10,-2.000000,-0.333333,0.500000
P10,3.140000,2.236667,0.500000
P10,-0.500000,0.416667,0.500000
P10,10.000000,5.666667,0.500000
P10,-10.000000,-4.333333,0.500000
P10,0.001000,0.667167,0.500000
P10,2.718000,2.025667,0.500000
P10,-3.330000,-0.998333,0.500000
P11,0.000000,-5.000000,0.000000
P11,1.500000,-3.945312,-5.484375
P11,-2.000000,3.000000,-36.000000
P11,3.140000,-172.015294,-305.386321
P11,-0.500000,-5.226562,1.265625
P11,10.000000,-73005.000000,-36900.000000
P11,-10.000000,72995.000000,-36900.000000
P11,0.001000,-5.000000,0.000006
P11,2.718000,-76.093598,-160.333022
P11,-3.330000,228.249775,-394.580487
P12,0.000000,0.000000,0.000000
P12,1.500000,0.000000,0.000000
P12,-2.000000,0.000000,0.000000
P12,3.140000,0.000000,0.000000
P12,-0.500000,0.000000,0.000000
P12,10.000000,0.000000,0.000000
P12,-10.000000,0.000000,0.000000
P12,0.001000,0.000000,0.000000
P12,2.718000,0.000000,0.000000
P12,-3.330000,0.000000,0.000000
P13,0.000000,5.000000,4.000000
P13,1.500000,17.750000,13.000000
P13,-2.000000,9.000000,-8.000000
P13,3.140000,47.138800,22.840000
P13,-0.500000,3.750000,1.000000
P13,10.000000,345.000000,64.000000
P13,-10.000000,265.000000,-56.000000
P13,0.001000,5.004003,4.006000
P13,2.718000,38.034572,20.308000
P13,-3.330000,24.946700,-15.980000
P15,0.000000,1.000000,1.000000
P15,1.500000,8.125000,10.750000
P15,-2.000000,-5.000000,9.000000
P15,3.140000,44.958744,36.858800
P15,-0.500000,0.625000,0.750000
P15,10.000000,1111.000000,321.000000
P15,-10.000000,-909.000000,281.000000
P15,0.001000,1.001001,1.002003
P15,2.718000,31.184814,28.598572
P15,-3.330000,-28.167137,27.606700
P16,0.000000,0.000000,-7.000000
P16,1.500000,-10.500000,-7.000000
P16,-2.000000,14.000000,-7.000000
P16,3.140000,-21.980000,-7.000000
P16,-0.500000,3.500000,-7.000000
P16,10.000000,-70.000000,-7.000000
P16,-10.000000,70.000000,-7.000000
P16,0.001000,-0.007000,-7.000000
P16,2.718000,-19.026000,-7.000000
P16,-3.330000,23.310000,-7.000000
P17,0.000000,0.200000,-0.400000
P17,1.500000,0.950000,1.400000
P17,-2.000000,3.400000,-2.800000
P17,3.140000,4.859760,3.368000
P17,-0.500000,0.550000,-1.000000
P17,10.000000,56.200000,11.600000
P17,-10.000000,64.200000,-12.400000
P17,0.001000,0.199601,-0.398800
P17,2.718000,3.545314,2.861600
P17,-3.330000,8.185340,-4.396000
P18,0.000000,100.000000,0.000000
P18,1.500000,100.000000,0.000000
P18,-2.000000,100.000000,0.000000
P18,3.140000,100.000000,0.000000
P18,-0.500000,100.000000,0.000000
P18,10.000000,100.000000,0.000000
P18,-10.000000,100.000000,0.000000
P18,0.001000,100.000000,0.000000
P18,2.718000,100.000000,0.000000
P18,-3.330000,100.000000,0.000000
P20,0.000000,2.000000,-3.000000
P20,1.500000,20.000000,56.250000
P20,-2.000000,160.000000,-271.000000
P20,3.140000,460.492953,617.245456
P20,-0.500000,5.500000,-13.750000
P20,10.000000,55372.000000,22577.000000
P20,-10.000000,65432.000000,-25583.000000
P20,0.001000,1.997004,-2.992015
P20,2.718000,250.452710,389.834106
P20,-3.330000,978.758004,-1082.198388
